License,Owner,Street,City,State,Zip,Lat,Lon
200139103,Funlab Texas Operations LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,HOLIDAY HOSPITALITY LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200115787,Austin Airport Investment LLC,13000 N Interstate 35 Building 6,Austin,TX,78753,30.141734,-97.832653
200159982,Chimera Spirits Inc.,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200161724,LH 35 Limited Liability Company ,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200139103,Honest Marys Inc ,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,Hopdoddy Austin Mueller LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,HOG Manager LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200159982,CUL SEC LLC,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200139103,HOPSQUAD BREWING COMPANY LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200131684,1900 Rio Grande Street Beverages LLC,2021 Aldrich St,Austin,TX,78723,30.165611,-97.828382
200159982,"CHR Austin Bev Co, LLC",710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200099488,"Sage Client 576, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,Plaid Pattern LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,"LW Six, Inc dba House of Three Gorges",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200139103,"House Wine Austin, LLC",1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,Howard's Bar LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200176564,MH HCAUSTIN LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200139103,HIT Austin TX Beverage Company LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,"Hill Country Hospitaility Beverages, LLC",1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200099488,SPADES HOTEL MANAGEMENT LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200129075,TX C-STORE PRO LLC,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200060167,888 Yummy Corporation,901 Neches St,Austin,TX,78701,30.26613,-97.751785
200139103,IKENAVES LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,Indy 2 llc,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,Inka Chicken LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,J CARVER 509 RIO GRANDE LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200159982,DESSENTIALS LLC,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200159982,"Chama @ the Whitley, LLC",710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200060928,99 JADE LLC,1211 E 5th St,Austin,TX,78702,30.263222,-97.730497
200099488,RANJEETA INC.,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200139103,JALISCOS CONGRESS INC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200149811,Align Consultants LLC,"7826 Highway 290 W, Austin, TX, Usa",Austin,TX,78736,30.337186,-97.75495
200139103,JDs Riverside LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200139103,"JewBoy Burgers, LLC",1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200051925,Techni Center Enterprise LLC,111 W William Cannon Dr,Austin,TX,78745,30.348135,-97.721754
200176564,Menchaca Jo's LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200139103,HANCOCK JO'S LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200166719,"Jo's Coffee Ventures, LLC",701 W 24th St,Austin,TX,78705,30.337186,-97.75495
200099488,OLD SETTLERS INVESTMENT LP,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,JULIET2-AUSTIN LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Jupiter Supper Club LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
106943373,Austin 18 Hotel Beverage LLC,1000 E 41ST ST UNIT 180,AUSTIN,TX,78751,30.300469,-97.719654
200099488,PAESR ENTERPRISES INC.,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,PRADHAN USA MANAGEMENT SERVICES LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,KAPATAD LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,KELLYS IRISH PUB LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Kesos Tacos Spicewood LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,KHON THAI LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,KICKING IT ATX LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,KIIN DI INC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LIAM VENTURE LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Kingdom Austin LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,"Knobloch Beverage Distribution, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200176564,NC HIBACHI AUSTIN INC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200139103,hospitality ventures llc,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200161724,"Kokos Bavarian, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200176564,NEW AGE RETAIL LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200161724,Kuppanna Austin LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,SRK BUSINESS INC.,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,La Baby Social LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
